,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,range,CV,missing_pct,constant
Geria_GDSGSPIR,5602.0,0.9069975008925384,0.2904618643121899,0.0,1.0,1.0,1.0,1.0,-2.803416951873985,5.861239031018901,1.0,0.3202454957443196,36.35537377868666,False
Geria_GDSAFRAD,5603.0,0.15670176691058363,0.3635518013855812,0.0,0.0,0.0,0.0,1.0,1.8892538361920674,1.5698402872190846,1.0,2.3200236254708555,36.344012724380825,False
Geria_GDSHAPPY,5602.0,0.8743305962156372,0.33150599098059635,0.0,1.0,1.0,1.0,1.0,-2.259170548360942,3.1049599575405433,1.0,0.3791540550170071,36.35537377868666,False
Geria_GDSHLPLS,5603.0,0.0842405854006782,0.27777307282683383,0.0,0.0,0.0,0.0,1.0,2.994587411669537,6.970041606584891,1.0,3.2973782352727756,36.344012724380825,False
Geria_GDSHOME,5602.0,0.31345947875758656,0.46394078944977346,0.0,0.0,0.0,1.0,1.0,0.8044437872274868,-1.3533534886763023,1.0,1.4800662314906783,36.35537377868666,False
Geria_GDSMEMRY,5603.0,0.22809209352132787,0.41963974971751006,0.0,0.0,0.0,0.0,1.0,1.2963738506202453,-0.31952902327919386,1.0,1.839782095201259,36.344012724380825,False
Geria_GDSALIVE,5602.0,0.9075330239200285,0.28970988400149267,0.0,1.0,1.0,1.0,1.0,-2.8143918722943613,5.922916055447004,1.0,0.31922792489700275,36.35537377868666,False
Geria_GDSWRTLS,5602.0,0.062120671188861123,0.24139613794803144,0.0,0.0,0.0,0.0,1.0,3.6291857691610314,11.17497885885961,1.0,3.8859228873128506,36.35537377868666,False
Geria_GDSENRGY,5602.0,0.5324883970010711,0.4989879262057969,0.0,0.0,1.0,1.0,1.0,-0.13026367289935656,-1.983739728587443,1.0,0.9370869469007288,36.35537377868666,False
Geria_GDSHOPLS,5602.0,0.06640485540878258,0.24901068087703948,0.0,0.0,0.0,0.0,1.0,3.4837863056499505,10.140387170073648,1.0,3.7498866512719764,36.35537377868666,False
Geria_GDSBETER,5602.0,0.09925026776151374,0.2990244362658804,0.0,0.0,0.0,0.0,1.0,2.6813384360761714,5.19142910130104,1.0,3.012832539499032,36.35537377868666,False
Neuro_MTRRSP,4119.0,0.05316824471959213,0.2705184319988105,0.0,0.0,0.0,0.0,3.0,6.655553222775075,55.87381793205405,3.0,5.087969960744751,53.20381731424676,False
Neuro_CORDRSP,4119.0,0.03520271910657927,0.22360441165481806,0.0,0.0,0.0,0.0,3.0,8.15084847830493,82.27840279865619,3.0,6.351907390387556,53.20381731424676,False
Neuro_SENRSP,4119.0,0.1206603544549648,0.3951600716584284,0.0,0.0,0.0,0.0,3.0,4.012168120542978,19.479868692814406,3.0,3.2749785415715627,53.20381731424676,False
Neuro_RFLXRSP,4119.0,0.2573440155377519,0.4955399289243251,0.0,0.0,0.0,0.0,3.0,2.0587023280056735,5.252313979119559,3.0,1.9255933653200896,53.20381731424676,False
Neuro_PLRRRSP,1882.0,0.26461211477151964,0.7196723687655269,0.0,0.0,0.0,0.0,4.0,2.5811213268957665,5.508760379744919,4.0,2.7197256988287584,78.6184957964099,False
Neuro_PLRLRSP,1882.0,0.2630180658873539,0.7213631056104617,0.0,0.0,0.0,0.0,4.0,2.6206750424683745,5.781733860069782,4.0,2.742637100523008,78.6184957964099,False
Neuro_GAITRSP,2237.0,0.06839517210549843,0.2857181413413033,0.0,0.0,0.0,0.0,3.0,5.197577727681277,35.332626917661415,3.0,4.1774606678463755,74.58532151783686,False
Neuro_MNTLRSP,2237.0,0.012963790791238265,0.11314350851180331,0.0,0.0,0.0,0.0,1.0,8.616880317854548,72.31527944209266,1.0,8.727656156582897,74.58532151783686,False
Neuro_CNRSP,4119.0,0.4102937606215101,0.7293545924662699,0.0,0.0,0.0,1.0,3.0,1.5098339927003064,0.849245240880208,3.0,1.777639980099743,53.20381731424676,False
SCOPA_PTCGBOTH,5609.0,1.0855767516491353,0.40125586534489827,1.0,1.0,1.0,1.0,3.0,4.519034943421198,18.536477885667374,2.0,0.3696245933190236,36.27584639854579,False
SCOPA_SCAU1,5607.0,0.2939183163902265,0.5437713035573004,0.0,0.0,0.0,1.0,3.0,1.9133490284246095,3.8733764406337805,3.0,1.85007627369283,36.29856850715746,False
SCOPA_SCAU2,5608.0,0.41743937232524964,0.6407167865789013,0.0,0.0,0.0,1.0,3.0,1.6147182082159892,2.773578085956991,3.0,1.5348738740429213,36.287207452851625,False
SCOPA_SCAU3,5608.0,0.20970042796005706,0.46327443546322217,0.0,0.0,0.0,0.0,3.0,2.370762117697645,6.492186353816136,3.0,2.209220267072917,36.287207452851625,False
SCOPA_SCAU4,5608.0,0.3464693295292439,0.6457127123210319,0.0,0.0,0.0,1.0,3.0,2.0793836733676496,4.423461965097291,3.0,1.86369371626163,36.287207452851625,False
SCOPA_SCAU5,5608.0,0.5766761768901569,0.8602168987432192,0.0,0.0,0.0,1.0,3.0,1.4453130978421003,1.209962218603231,3.0,1.4916810043759965,36.287207452851625,False
SCOPA_SCAU6,5608.0,0.7257489300998573,0.8429569362537926,0.0,0.0,1.0,1.0,3.0,1.1156819886442861,0.6989339887398724,3.0,1.1614993853836042,36.287207452851625,False
SCOPA_SCAU7,5601.0,0.06266738082485271,0.27353628295845506,0.0,0.0,0.0,0.0,3.0,5.139553869591863,32.48801011457119,3.0,4.364890942593466,36.366734832992506,False
SCOPA_SCAU8,5605.0,0.511864406779661,0.8568551525719746,0.0,0.0,0.0,1.0,9.0,3.559681458893354,25.601339487035307,9.0,1.6739885431041888,36.32129061576914,False
SCOPA_SCAU9,5605.0,0.37716324710080285,0.7399911375066005,0.0,0.0,0.0,1.0,9.0,4.502721234242251,40.04537223828586,9.0,1.961991639415561,36.32129061576914,False
SCOPA_SCAU10,5606.0,0.5759900107028184,0.8444739037000711,0.0,0.0,0.0,1.0,9.0,3.3153324990975586,24.36513837036002,9.0,1.4661259535901514,36.309929561463306,False
SCOPA_SCAU11,5606.0,0.6154120585087406,0.8864958125773574,0.0,0.0,0.0,1.0,9.0,2.9525075164586676,19.505388912669503,9.0,1.4404914566112075,36.309929561463306,False
SCOPA_SCAU12,5606.0,1.1250445950767036,0.913311581224107,0.0,1.0,1.0,1.0,9.0,1.843766834924305,10.999057176548524,9.0,0.8118003368229497,36.309929561463306,False
SCOPA_SCAU13,5606.0,1.5089190153407064,1.0095930632178418,0.0,1.0,1.0,2.0,9.0,0.9403083177824059,5.636276212274083,9.0,0.6690836638372409,36.309929561463306,False
SCOPA_SCAU14,5605.0,0.31793041926851023,0.5797326405220845,0.0,0.0,0.0,1.0,3.0,1.976588623450018,4.277456831076073,3.0,1.8234576038868036,36.32129061576914,False
SCOPA_SCAU15,5605.0,0.17644959857270295,0.4639947241455478,0.0,0.0,0.0,0.0,3.0,3.1121068912118877,11.447140355403599,3.0,2.62961620711405,36.32129061576914,False
SCOPA_SCAU16,5605.0,0.028367528991971452,0.1872495057120688,0.0,0.0,0.0,0.0,3.0,7.780168503694464,73.65876865765155,3.0,6.600839493812237,36.32129061576914,False
SCOPA_SCAU17,5605.0,0.27903657448706515,0.6304755574434179,0.0,0.0,0.0,0.0,3.0,2.592344157694012,6.833318993558612,3.0,2.25947282574831,36.32129061576914,False
SCOPA_SCAU18,5605.0,0.3025869759143622,0.596625726155734,0.0,0.0,0.0,0.0,3.0,2.234035744594311,5.41798477567105,3.0,1.971749525414439,36.32129061576914,False
SCOPA_SCAU19,5605.0,0.4312221231043711,0.7159765607090675,0.0,0.0,0.0,1.0,3.0,1.7670491946672866,2.820878122601617,3.0,1.6603428311023265,36.32129061576914,False
SCOPA_SCAU20,5604.0,0.5046395431834404,0.7631153648855714,0.0,0.0,0.0,1.0,3.0,1.535550505056506,1.8484830303272708,3.0,1.5121989055228933,36.33265167007498,False
SCOPA_SCAU21,5602.0,0.38361299535880045,0.7058578162315798,0.0,0.0,0.0,1.0,3.0,1.9903796737541086,3.6309098132756907,3.0,1.8400258196972128,36.35537377868666,False
SCOPA_SCAU22,4115.0,2.667071688942892,3.5269601346496415,0.0,0.0,1.0,3.0,9.0,1.1047625899035276,-0.5252770698144253,9.0,1.3224091985497288,53.24926153147012,False
SCOPA_SCAU23,4106.0,2.667559668777399,3.6895751003226795,0.0,0.0,1.0,3.0,9.0,1.043817691961944,-0.7442051975174779,9.0,1.3831274867091137,53.351511020222674,False
SCOPA_SCAU23A,3718.0,0.14981172673480367,0.3569347834800928,0.0,0.0,0.0,0.0,1.0,1.9632535993075704,1.8553624491743732,1.0,2.382555700141804,57.759600090888426,False
