Feature,Quality_Score,Missing_Penalty,Variance
MDS_NP2HOBB,7.11610997500568,0.36048625312428995,0.6550344741031032
MDS_NP2TURN,7.11610997500568,0.36048625312428995,0.4148242746877748
MDS_NP2DRES,7.1152010906612135,0.3605998636673483,0.46258953146122944
NP2PTOT,7.113383321972279,0.36082708475346514,36.75877337757238
NP1RTOT,7.106112247216542,0.36173596909793226,4.570567321789818
REM_DRMVIVID,7.106112247216542,0.36173596909793226,0.24640273167588117
REM_DRMAGRAC,7.105203362872075,0.3618495796409907,0.1845380476544799
REM_MVAWAKEN,7.105203362872075,0.3618495796409907,0.16576731858465885
REM_PTCGBOTH,7.105203362872075,0.3618495796409907,0.19154706636903537
REM_NARCLPSY,7.104294478527607,0.3619631901840491,0.006370299335570931
REM_RLS,7.104294478527607,0.3619631901840491,0.0716208365362417
REM_PARKISM,7.104294478527607,0.3619631901840491,0.23040311614443407
REM_EPILEPSY,7.104294478527607,0.3619631901840491,0.005314290933168937
REM_DEPRS,7.104294478527607,0.3619631901840491,0.14523255017466952
REM_DRMVERBL,7.104294478527607,0.3619631901840491,0.21756690590172337
REM_HETRA,7.104294478527607,0.3619631901840491,0.0866359441159085
REM_SLPDSTRB,7.104294478527607,0.3619631901840491,0.22057472226661898
REM_DRMREMEM,7.104294478527607,0.3619631901840491,0.23542400798634106
REM_STROKE,7.104294478527607,0.3619631901840491,0.013178699454300525
REM_BRNINFM,7.104294478527607,0.3619631901840491,0.00425599926935635
Epwor_ESS7,7.10338559418314,0.36207680072710746,0.6531948338034193
Epwor_ESS4,7.10338559418314,0.36207680072710746,0.8156613300738739
Epwor_ESS2,7.10338559418314,0.36207680072710746,0.7916850793763588
REM_SLPLMBMV,7.10338559418314,0.36207680072710746,0.20424875985840008
REM_DRMOBJFL,7.10338559418314,0.36207680072710746,0.06479742635524154
Epwor_ESS1,7.10338559418314,0.36207680072710746,0.7837776123233451
REM_SLPINJUR,7.10338559418314,0.36207680072710746,0.10901013589927992
REM_DRMUMV,7.10338559418314,0.36207680072710746,0.10672675898347248
Epwor_PTCGBOTH,7.1024767098386725,0.3621904112701659,0.16370605389506562
REM_DRMFIGHT,7.1024767098386725,0.3621904112701659,0.19152079715196238
Epwor_ESS3,7.1024767098386725,0.3621904112701659,0.4627176618277168
Epwor_ESS6,7.1024767098386725,0.3621904112701659,0.12822376371813843
Epwor_ESS5,7.1024767098386725,0.3621904112701659,1.0243161026704573
Epwor_ESS8,7.100658941149739,0.36241763235628266,0.14533398592241872
SCOPA_PTCGBOTH,7.097932288116337,0.36275846398545786,0.16100626947368313
SCOPA_SCAU5,7.09702340377187,0.3628720745285162,0.7399731128834017
SCOPA_SCAU4,7.09702340377187,0.3628720745285162,0.41694490685298363
SCOPA_SCAU2,7.09702340377187,0.3628720745285162,0.4105180006039933
SCOPA_SCAU3,7.09702340377187,0.3628720745285162,0.2146232025537672
SCOPA_SCAU6,7.09702340377187,0.3628720745285162,0.7105763963783807
REM_DRMNOCTB,7.09702340377187,0.3628720745285162,0.19276940608425325
SCOPA_SCAU1,7.0961145194274025,0.36298568507157464,0.29568723057240576
SCOPA_SCAU12,7.095205635082936,0.36309929561463306,0.8341380443980787
SCOPA_SCAU13,7.095205635082936,0.36309929561463306,1.0192781532975852
SCOPA_SCAU11,7.095205635082936,0.36309929561463306,0.7858748257171891
SCOPA_SCAU10,7.095205635082936,0.36309929561463306,0.7131361740304369
REM_CNSOTH,7.094296750738469,0.3632129061576914,0.04229602787864664
SCOPA_SCAU14,7.094296750738469,0.3632129061576914,0.3360899344867085
SCOPA_SCAU18,7.094296750738469,0.3632129061576914,0.35596225711085683
SCOPA_SCAU17,7.094296750738469,0.3632129061576914,0.39749942853358855
SCOPA_SCAU16,7.094296750738469,0.3632129061576914,0.03506237738941409
SCOPA_SCAU15,7.094296750738469,0.3632129061576914,0.21529110403490304
SCOPA_SCAU19,7.094296750738469,0.3632129061576914,0.512622435484785
SCOPA_SCAU9,7.094296750738469,0.3632129061576914,0.5475868835883125
SCOPA_SCAU8,7.094296750738469,0.3632129061576914,0.734200752489142
SCOPA_SCAU20,7.093387866394002,0.36332651670074984,0.5823450601244388
Geria_GDSHLPLS,7.092478982049534,0.36344012724380825,0.07715787998766152
Geria_GDSMEMRY,7.092478982049534,0.36344012724380825,0.17609751954297448
Geria_GDSAFRAD,7.092478982049534,0.36344012724380825,0.13216991229070107
Geria_GDSSATIS,7.092478982049534,0.36344012724380825,0.07789924597312745
Geria_GDSDROPD,7.092478982049534,0.36344012724380825,0.1458432880381124
Geria_GDSHAPPY,7.091570097705067,0.3635537377868666,0.10989622205602724
SCOPA_SCAU26C,7.091570097705067,0.3635537377868666,0.22164352504758136
Geria_GDSWRTLS,7.091570097705067,0.3635537377868666,0.05827209541622502
SCOPA_SCAU21,7.091570097705067,0.3635537377868666,0.49823525673521474
Geria_GDSHOME,7.091570097705067,0.3635537377868666,0.21524105611527902
Geria_GDSEMPTY,7.091570097705067,0.3635537377868666,0.05623406107480297
Geria_GDSENRGY,7.091570097705067,0.3635537377868666,0.2489889504991618
Geria_GDSBORED,7.091570097705067,0.3635537377868666,0.11636931641408199
Geria_GDSGSPIR,7.091570097705067,0.3635537377868666,0.08436809461971301
Geria_GDSALIVE,7.091570097705067,0.3635537377868666,0.08393181688815833
Geria_GDSHOPLS,7.091570097705067,0.3635537377868666,0.0620063191908468
Geria_GDSBETER,7.091570097705067,0.3635537377868666,0.08941561348412755
SCOPA_SCAU7,7.090661213360599,0.36366734832992503,0.07482209809472798
SCOPA_SCAU26B,7.089752329016132,0.3637809588729834,0.11206082718852854
SCOPA_SCAU26A,7.089752329016132,0.3637809588729834,0.1587380399561146
SCOPA_SCAU26D,7.083390138604862,0.3645762326743922,0.21746098676891995
MDS-U_DBSYN,7.073392410815724,0.3658259486480345,0.020867782774527208
MDS-U_NP3BRADY,7.0015905476028175,0.3748011815496478,4.373216076647793
MDS-U_NP3LGAGL,7.0015905476028175,0.3748011815496478,15.266678239614583
MDS-U_NP3HMOVR,7.0015905476028175,0.3748011815496478,2.5436060024230533
MDS-U_NP3FTAPR,7.0015905476028175,0.3748011815496478,4.485706517571164
MDS-U_NP3LGAGR,7.0015905476028175,0.3748011815496478,15.168643018351643
MDS-U_NP3GAIT,7.0015905476028175,0.3748011815496478,13.25166960581231
MDS-U_NP3RISNG,7.0015905476028175,0.3748011815496478,15.02304060314611
MDS-U_NP3FRZGT,7.0015905476028175,0.3748011815496478,20.43046266756582
MDS-U_NP3POSTR,7.0015905476028175,0.3748011815496478,11.58113168237833
MDS-U_NP3PRSPR,7.0015905476028175,0.3748011815496478,4.3908464587539004
MDS-U_NP3RIGLU,7.0015905476028175,0.3748011815496478,98.39511801269232
MDS-U_NP3RIGN,7.0015905476028175,0.3748011815496478,91.35683427822623
MDS-U_NP3RIGRU,7.0015905476028175,0.3748011815496478,90.99949923220228
MDS-U_NP3PTRML,7.0015905476028175,0.3748011815496478,3.980787915622906
MDS-U_NP3PTRMR,7.0015905476028175,0.3748011815496478,4.052953833119544
MDS-U_NP3FACXP,7.0015905476028175,0.3748011815496478,2.5104315395065897
MDS-U_NP3SPCH,7.0015905476028175,0.3748011815496478,2.2655025152996413
MDS-U_NP3KTRMR,7.00068166325835,0.37491479209270623,5.804444266469906
MDS-U_NP3KTRML,7.00068166325835,0.37491479209270623,9.508088909646714
MDS-U_NP3RTARU,7.00068166325835,0.37491479209270623,8.231332844476048
MDS-U_NP3RTARL,7.00068166325835,0.37491479209270623,22.36810296082448
MDS-U_NP3TTAPR,7.00068166325835,0.37491479209270623,15.428795207321942
MDS-U_NP3HMOVL,7.00068166325835,0.37491479209270623,2.6100472727241484
MDS-U_NP3FTAPL,7.00068166325835,0.37491479209270623,4.570849185016491
MDS-U_NP3RIGRL,7.00068166325835,0.37491479209270623,96.9414667410195
MDS-U_NP3PRSPL,7.00068166325835,0.37491479209270623,6.3003152462084975
MDS-U_NP3RTALJ,7.00068166325835,0.37491479209270623,7.4809055899489145
MDS-U_NP3TTAPL,7.00068166325835,0.37491479209270623,15.49103748427883
MDS-U_NP3RTALU,7.00068166325835,0.37491479209270623,9.848897107435805
MDS-U_NP3RTCON,7.00068166325835,0.37491479209270623,10.848185792993192
MDS-U_DYSKPRES,7.00068166325835,0.37491479209270623,0.04814619806411722
MDS-U_NP3RTALL,7.00068166325835,0.37491479209270623,22.332364671675638
MDS-U_NP3RIGLL,6.999772778913883,0.3750284026357646,96.9987823040439
MDS-U_NP3PSTBL,6.998863894569416,0.375142013178823,111.8413099571823
Vital_SYSSUP,6.993410588502613,0.37582367643717335,297.38820980814785
Vital_DIASUP,6.993410588502613,0.37582367643717335,105.63792670964688
Vital_HRSUP,6.989775051124744,0.37627811860940696,124.382424726917
Vital_WGTKG,6.98795728243581,0.37650533969552374,286.666189004052
Vital_BPARM,6.986139513746876,0.3767325607816405,0.2493660003369811
Vital_HTCM,6.976141785957736,0.3779822767552829,108.51920440838634
Vital_SYSSTND,6.973415132924336,0.3783231083844581,314.7220687014252
Vital_DIASTND,6.973415132924336,0.3783231083844581,120.14285851715745
Vital_HRSTND,6.968870711201999,0.3788911610997501,145.84981993882596
Vital_TEMPC,6.963417405135196,0.3795728243581004,2.037853544246146
MDS-U_PDTRTMNT,6.578050443081118,0.4277436946148603,0.23805925113650642
MDS-U_PDMEDYN,6.5526016814360375,0.43092478982049537,0.2376598321105078
clini_NP3FRZGT,6.323562826630312,0.4595546466712111,0.130641701406612
clini_NP3LGAGL,6.323562826630312,0.4595546466712111,0.6966163626247399
clini_NP3GAIT,6.323562826630312,0.4595546466712111,0.480401419854376
clini_NP3FTAPR,6.323562826630312,0.4595546466712111,0.936904102899662
clini_NP3RIGLL,6.323562826630312,0.4595546466712111,0.7268406896445644
clini_NP3RIGRL,6.323562826630312,0.4595546466712111,0.7002915273547567
clini_NP3RIGLU,6.323562826630312,0.4595546466712111,0.7996928257467683
clini_NP3TTAPL,6.323562826630312,0.4595546466712111,1.029247854474297
clini_NP3LGAGR,6.323562826630312,0.4595546466712111,0.5452418135338777
clini_NP3TTAPR,6.323562826630312,0.4595546466712111,0.9215754464272297
clini_NP3RIGN,6.323562826630312,0.4595546466712111,0.7485488606671096
clini_NP3RTARU,6.323562826630312,0.4595546466712111,1.0229244742774715
clini_NP3HMOVL,6.323562826630312,0.4595546466712111,0.8660534437939539
NHY,6.323562826630312,0.4595546466712111,2.8233714451705274
clini_NP3RTALL,6.323562826630312,0.4595546466712111,0.23620469537787078
NP3TOT,6.323562826630312,0.4595546466712111,207.05448179328664
clini_DYSKPRES,6.323562826630312,0.4595546466712111,0.02018105141146517
clini_NP3PRSPL,6.323562826630312,0.4595546466712111,0.9200025353279564
clini_NP3PRSPR,6.323562826630312,0.4595546466712111,0.808686786751161
clini_priority,6.323562826630312,0.4595546466712111,0.9045220951002577
clini_NP3HMOVR,6.323562826630312,0.4595546466712111,0.7746922644032352
clini_NP3FTAPL,6.323562826630312,0.4595546466712111,1.0194566088521135
clini_NP3PTRMR,6.323562826630312,0.4595546466712111,0.4326888107702995
clini_NP3PTRML,6.323562826630312,0.4595546466712111,0.335618988651667
clini_NP3SPCH,6.323562826630312,0.4595546466712111,0.43210731191057816
clini_NP3FACXP,6.323562826630312,0.4595546466712111,0.7159993338134073
clini_NP3RISNG,6.323562826630312,0.4595546466712111,0.29028939336532605
clini_NP3PSTBL,6.323562826630312,0.4595546466712111,0.29257189573048303
clini_NP3RIGRU,6.323562826630312,0.4595546466712111,0.7904414423222614
clini_NP3KTRML,6.323562826630312,0.4595546466712111,0.32989964945643385
clini_NP3RTALU,6.323562826630312,0.4595546466712111,0.7666474601724552
clini_NP3RTCON,6.323562826630312,0.4595546466712111,2.0013586281506623
clini_NP3RTARL,6.323562826630312,0.4595546466712111,0.3017824380979524
clini_NP3RTALJ,6.323562826630312,0.4595546466712111,0.0932678025902424
clini_NP3KTRMR,6.323562826630312,0.4595546466712111,0.3028418303653436
clini_NP3BRADY,6.323562826630312,0.4595546466712111,0.7893621599296897
clini_NP3POSTR,6.323562826630312,0.4595546466712111,0.6268989102509815
TARGET_NHY,6.322653942285845,0.45966825721426946,0.7407651102509066
clini_DBSYN,6.294478527607362,0.46319018404907975,0.019095824989135746
Featu_FEATBRADY,6.275391956373552,0.4655760054533061,0.11781735605149991
Featu_FEATPOSINS,6.275391956373552,0.4655760054533061,0.2691236578620391
Featu_FEATTREMOR,6.275391956373552,0.4655760054533061,0.24282766210885798
Featu_FEATRIGID,6.272665303340149,0.46591683708248127,0.16278980932078735
clini_PDTRTMNT,5.799136559872756,0.5251079300159055,0.24687140418428438
clini_PDMEDYN,5.773687798227676,0.5282890252215405,0.24657747813861045
Neuro_MTRRSP,5.743694614860259,0.5320381731424676,0.07318022205109505
Neuro_CORDRSP,5.743694614860259,0.5320381731424676,0.04999893291149733
Neuro_SENRSP,5.743694614860259,0.5320381731424676,0.1561514822330943
Neuro_RFLXRSP,5.743694614860259,0.5320381731424676,0.24555982115832514
Neuro_CNRSP,5.743694614860259,0.5320381731424676,0.5319581215516387
SCOPA_SCAU22,5.740059077482391,0.5324926153147012,12.439447791407819
SCOPA_SCAU23,5.731879118382186,0.5335151102022267,13.61296442092111
Featu_PSGLVL,5.411951829129743,0.5735060213587821,1.5289990703228575
SCOPA_SCAU23A,5.379231992728926,0.5775960009088843,0.1274024396579807
SCOPA_SCAU24,4.948420813451488,0.631447398318564,16.899700787772808
SCOPA_SCAU25,4.947511929107021,0.6315610088616224,17.248027783658934
MDS-U_NP4FLCTX,4.885707793683253,0.6392865257895933,16.476995668547104
MDS-U_NP4DYSTN,4.885707793683253,0.6392865257895933,10.080526323623538
MDS-U_NP4OFF,4.885707793683253,0.6392865257895933,25.902177634222944
MDS-U_NP4WDYSK,4.885707793683253,0.6392865257895933,3.55006633622593
MDS-U_NP4DYSKI,4.885707793683253,0.6392865257895933,9.794571642627849
MDS-U_NP4FLCTI,4.885707793683253,0.6392865257895933,10.227223553577542
NP4TOT,4.873892297205181,0.6407634628493524,8.152360530909101
MDS-U_HRPOSTMED,4.667575551011134,0.6665530561236083,57813.06303689256
Curre_PROJECTID,4.5830493069756875,0.6771188366280391,3753.9514271644643
Dopam_DATSCAN,4.2613042490343105,0.7173369688707112,0.14277442055602313
TARGET_TOTAL_UPDRS,4.214042263122018,0.7232447171097478,431.61529622399127
Dopam_SCNLOC,4.177686889343331,0.7277891388320836,0.005811355739036179
clini_HRPOSTMED,4.094978413996819,0.7381276982503976,33408.697790582475
Clini_NEWDIAG,4.0940695296523515,0.7382413087934561,76.79849652627009
Neuro_MNTLRSP,4.0331742785730516,0.7458532151783686,0.012801453518360508
Neuro_GAITRSP,4.0331742785730516,0.7458532151783686,0.08163485629152896
Dopam_DATSCANTRC,3.9922744830720287,0.7509656896159964,0.00814796429987307
Xing_PROTOCOL,3.7268802544876163,0.784139968189048,0.1959856988442671
Xing_POSVENTRALPUTAMEN_R_REF_CWM,3.7196091797318793,0.7850488525335151,0.05523625362376361
Xing_PRECOMMISSURAL_PUTAMEN_R_REF_CWM,3.7196091797318793,0.7850488525335151,0.1756543147802599
Xing_POSCOMMISSURAL_PUTAMEN_R_REF_CWM,3.7196091797318793,0.7850488525335151,0.07887704892877466
Xing_PREDORSALPUTAMEN_R_REF_CWM,3.7196091797318793,0.7850488525335151,0.22183946375006566
Xing_PREVENTRALPUTAMEN_R_REF_CWM,3.7196091797318793,0.7850488525335151,0.14072952896383562
Xing_POSDORSALPUTAMEN_R_REF_CWM,3.7196091797318793,0.7850488525335151,0.09276586914985083
Xing_POSCAUDATE_R_REF_CWM,3.7196091797318793,0.7850488525335151,0.03501312579448886
Xing_PUTAMEN_R_REF_CWM,3.7196091797318793,0.7850488525335151,0.11185285532448687
