Feature,Overall_Mean,Temporal_Variance,Coefficient_of_Variation,Baseline_vs_V04_Shift
SCOPA_SCAU21,0.38361299535880045,0.49823525673521474,1.8400258196972128,-0.05036908380373424
SCOPA_SCAU22,2.667071688942892,12.439447791407819,1.3224091985497288,-0.06461612544015409
SCOPA_SCAU23,2.667559668777399,13.61296442092111,1.3831274867091137,-0.059550561797752796
SCOPA_SCAU23A,0.14981172673480367,0.1274024396579807,2.382555700141804,0.19572100984167745
SCOPA_SCAU24,5.468249075215783,16.899700787772808,0.7517807820211887,-0.011963343468649683
SCOPA_SCAU25,5.382670366944187,17.248027783658934,0.7715639663224219,-0.025204186359402588
SCOPA_SCAU26A,0.19785714285714287,0.1587380399561146,2.0136721951441996,0.15706208068438185
SCOPA_SCAU26B,0.12857142857142856,0.11206082718852854,2.603649037678622,0.009912114251473102
SCOPA_SCAU26C,0.3314887540164227,0.22164352504758136,1.420230140285048,-0.04711044094702553
SCOPA_SCAU26D,0.3195065260146612,0.21746098676891995,1.4595230026168176,-0.08726168765456811
Unive_SCENT_01_CORRECT,0.375,0.23468057366362452,1.291835761597166,
Unive_SCENT_01_RESPONSE,2.6263020833333335,1.1443920442199043,0.4073265668642301,
Unive_SCENT_02_CORRECT,0.5981794538361509,0.24067376462938886,0.8201303498596242,
Unive_SCENT_02_RESPONSE,2.0650195058517555,0.628579459254443,0.3839334347735971,
Unive_SCENT_03_CORRECT,0.6458333333333334,0.2290308561495002,0.7410142194535193,
Unive_SCENT_03_RESPONSE,3.3372395833333335,1.0164992802042592,0.3021107308913892,
Unive_SCENT_04_CORRECT,0.5377604166666666,0.24889823717948717,0.9277310213875584,
Unive_SCENT_04_RESPONSE,3.0690104166666665,1.328999280204259,0.375633234904435,
Unive_SCENT_05_CORRECT,0.6640625,0.2233743481095176,0.7117175793271994,
Unive_SCENT_05_RESPONSE,2.6848958333333335,0.7376072903085614,0.31987857993008784,
Unive_SCENT_06_CORRECT,0.6101694915254238,0.23817320883303095,0.7998268234377811,
Unive_SCENT_06_RESPONSE,2.392438070404172,0.7531020114991438,0.3627322745225379,
Unive_SCENT_07_CORRECT,0.5475880052151239,0.2480587960961462,0.9095433215826685,
