Feature,Unique Values,Most Frequent Class %,Missing %,Constant
SAA_PI_INSTITUTION,1,100.0,83.17427857305158,True
Dopam_REC_ID,2488,0.04019292604501608,71.73369688707112,False
Dopam_SUB_EVENT_ID,0,0.0,100.0,True
Dopam_PAG_NAME,1,100.0,71.73369688707112,True
Dopam_PREVDATDT,15,15.789473684210526,99.78413996818904,False
Dopam_VSINTRPT,4,52.293577981651374,98.76164508066348,False
Dopam_ORIG_ENTRY,171,3.054662379421222,71.73369688707112,False
Dopam_LAST_UPDATE,1442,0.522508038585209,71.73369688707112,False
Xing_PREVIOUSLY_ACQUIRED,2,97.73684210526315,78.41399681890479,False
Xing_DATSCAN_LIGAND,2,99.57894736842105,78.41399681890479,False
Xing_DATSCAN_DATE,163,3.052631578947368,78.41399681890479,False
Xing_DATSCAN_ANALYZED,2,99.57894736842105,78.41399681890479,False
Xing_DATSCAN_OTHER_SPECIFY,1,100.0,99.90911156555329,True
Clini_REC_ID,2304,0.043402777777777776,73.8241308793456,False
Clini_PAG_NAME,1,100.0,73.8241308793456,True
Clini_NEWDIAGOTHER,11,16.666666666666664,99.86366734832993,False
Clini_DIAGDT,10,10.0,99.8863894569416,False
Clini_ORIG_ENTRY,41,4.774305555555555,73.8241308793456,False
Clini_LAST_UPDATE,753,0.5208333333333333,73.8241308793456,False
Conco_REC_ID,0,0.0,100.0,True
Conco_PAG_NAME,0,0.0,100.0,True
Conco_CMTRT,0,0.0,100.0,True
Conco_CMDOSU,0,0.0,100.0,True
Conco_CMDOSFRQ,0,0.0,100.0,True
Conco_STARTDT,0,0.0,100.0,True
Conco_STOPDT,0,0.0,100.0,True
Conco_CMINDC_TEXT,0,0.0,100.0,True
Conco_WHODRUG,0,0.0,100.0,True
Conco_EXCLMED,0,0.0,100.0,True
Conco_ORIG_ENTRY,0,0.0,100.0,True
Conco_LAST_UPDATE,0,0.0,100.0,True
Featu_REC_ID,4704,0.021258503401360544,46.55760054533061,False
Featu_PAG_NAME,2,69.28146258503402,46.55760054533061,False
Featu_ORIG_ENTRY,165,2.295918367346939,46.55760054533061,False
Featu_LAST_UPDATE,2290,0.3826530612244898,46.55760054533061,False
Initi_REC_ID,599,0.1669449081803005,93.19472847080209,False
Initi_PAG_NAME,1,100.0,93.19472847080209,True
Initi_ORIG_ENTRY,40,5.175292153589315,93.19472847080209,False
Initi_LAST_UPDATE,396,0.8347245409015025,93.19472847080209,False
LEDD_REC_ID,0,0.0,100.0,True
LEDD_PAG_NAME,0,0.0,100.0,True
LEDD_LEDTRT,0,0.0,100.0,True
LEDD_LEDDOSSTR,0,0.0,100.0,True
LEDD_STARTDT,0,0.0,100.0,True
LEDD_STOPDT,0,0.0,100.0,True
LEDD_LEDD,0,0.0,100.0,True
LEDD_ORIG_ENTRY,0,0.0,100.0,True
LEDD_LAST_UPDATE,0,0.0,100.0,True
Medic_REC_ID,0,0.0,100.0,True
Medic_PAG_NAME,0,0.0,100.0,True
Medic_MHDIAGDT,0,0.0,100.0,True
Medic_MHTERM,0,0.0,100.0,True
Medic_RESDT,0,0.0,100.0,True
Medic_ORIG_ENTRY,0,0.0,100.0,True
Medic_LAST_UPDATE,0,0.0,100.0,True
PD_REC_ID,2,50.0,99.97727789138831,False
PD_PAG_NAME,1,100.0,99.97727789138831,True
PD_SXDT,2,50.0,99.97727789138831,False
PD_PDDXDT,2,50.0,99.97727789138831,False
PD_ORIG_ENTRY,2,50.0,99.97727789138831,False
PD_LAST_UPDATE,2,50.0,99.97727789138831,False
Vital_REC_ID,5508,0.01815541031227306,37.423312883435585,False
Vital_PAG_NAME,1,100.0,37.423312883435585,True
Vital_ORIG_ENTRY,187,1.870007262164125,37.423312883435585,False
Vital_LAST_UPDATE,2980,0.29048656499636893,37.423312883435585,False
Gait_REC_ID,86,1.1627906976744187,99.0229493296978,False
Gait_SUB_EVENT_ID,3,56.97674418604651,99.0229493296978,False
Gait_PAG_NAME,1,100.0,99.0229493296978,True
Gait_AXIVITYDT,30,7.228915662650602,99.05703249261532,False
Gait_AXIVITYUPDT,34,8.75,99.09111565553283,False
Gait_GAITASTTM,73,3.6585365853658534,99.06839354692116,False
Gait_GAITASTTRANSDT,33,8.536585365853659,99.06839354692116,False
Gait_ORIG_ENTRY,31,6.976744186046512,99.0229493296978,False
Gait_LAST_UPDATE,75,3.488372093023256,99.0229493296978,False
MDS-U_REC_ID,5614,0.017812611328820803,36.21904112701659,False
MDS-U_PAG_NAME,5,57.9622372639829,36.21904112701659,False
MDS-U_PDSTATE,2,73.68421052631578,65.03067484662577,False
MDS-U_DBSOFFTM,5,20.0,99.9431947284708,False
MDS-U_DBSONTM,31,10.256410256410255,99.55691888207225,False
MDS-U_PDMEDDT,169,2.9561671763506627,66.56441717791411,False
MDS-U_PDMEDTM,333,6.320081549439347,66.56441717791411,False
MDS-U_EXAMDT,187,1.9814579167424105,37.50284026357646,False
MDS-U_EXAMTM,472,4.719535783365571,41.26334923880936,False
MDS-U_ORIG_ENTRY,187,1.905949412183826,36.21904112701659,False
MDS-U_LAST_UPDATE,2917,4.791592447452796,36.21904112701659,False
MDS_REC_ID,5632,0.01775568181818182,36.01454214951148,False
MDS_PAG_NAME,2,58.07883522727273,36.01454214951148,False
MDS_ORIG_ENTRY,187,1.9708806818181819,36.01454214951148,False
MDS_LAST_UPDATE,2984,0.31960227272727276,36.01454214951148,False
Epwor_REC_ID,5615,0.017809439002671415,36.207680072710744,False
Epwor_PAG_NAME,1,100.0,36.207680072710744,True
Epwor_ORIG_ENTRY,187,1.9412288512911844,36.207680072710744,False
Epwor_LAST_UPDATE,2970,0.32056990204808544,36.207680072710744,False
REM_REC_ID,5618,0.0177999288002848,36.173596909793226,False
REM_PAG_NAME,1,100.0,36.173596909793226,True
REM_ORIG_ENTRY,187,1.9045923816304735,36.173596909793226,False
REM_LAST_UPDATE,2982,0.3203987184051264,36.173596909793226,False
Eligi_REC_ID,15,6.666666666666667,99.8295841854124,False
Eligi_SUB_EVENT_ID,2,50.0,99.97727789138831,False
Eligi_PAG_NAME,1,100.0,99.8295841854124,True
Eligi_ORIG_ENTRY,10,20.0,99.8295841854124,False
Eligi_LAST_UPDATE,13,13.333333333333334,99.8295841854124,False
Inclu_REC_ID,986,0.10141987829614604,88.79800045444217,False
Inclu_PAG_NAME,6,62.67748478701826,88.79800045444217,False
Inclu_ORIG_ENTRY,68,3.6511156186612577,88.79800045444217,False
Inclu_LAST_UPDATE,623,0.8113590263691683,88.79800045444217,False
Demog_REC_ID,0,0.0,100.0,True
Demog_PAG_NAME,0,0.0,100.0,True
Demog_BIRTHDT,0,0.0,100.0,True
Demog_ORIG_ENTRY,0,0.0,100.0,True
Demog_LAST_UPDATE,0,0.0,100.0,True
